feature_name,source_layer,source_file,source_column,feature_group,feature_role,expected_type,unit,nullable_allowed,missing_policy,direction_hint,future_model_use,scoring_allowed_in_this_branch,notes
terrain_slope_pct_p75,route_terrain_demand,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,terrain_slope_pct_p75,Route / terrain context,75th percentile terrain slope demand,float,percent,True,Keep missing and mark terrain context incomplete,Higher usually indicates steeper upper-quartile demand,Route-demand stratification,False,Requires slope-method review
terrain_slope_pct_p90,route_terrain_demand,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,terrain_slope_pct_p90,Route / terrain context,90th percentile terrain slope demand,float,percent,True,Keep missing and mark terrain context incomplete,Higher usually indicates steeper high-end demand,High-slope demand context,False,Not a direct risk score
terrain_risk_band_distribution,route_terrain_demand,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,terrain_risk_band_distribution,Route / terrain context,Terrain-band distribution evidence,string,distribution,True,Keep blank as unavailable; do not invent categories,No monotonic direction defined,Route-demand composition,False,Category semantics require a separate reviewed contract
route_phase_distribution,route_terrain_demand,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,route_phase_distribution,Route / terrain context,Route-phase distribution evidence,string,distribution,True,Keep blank as unavailable; do not invent phases,No monotonic direction defined,Phase-aware comparison,False,UNKNOWN-heavy distributions may fail usability gates
route_dist_covered_m,route_terrain_demand,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,route_dist_covered_m,Route / terrain context,Distance demand denominator,float,meter,False,Exclude activity if absent; do not impute zero,Higher means greater distance demand,Normalize time and speed comparisons,False,Second conceptual role for the same source feature
temperature_c,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,temperature_c,Weather context,Observed temperature context,float,degree_Celsius,True,Keep missing; no zero fill,No direct penalty direction,Weather-context stratification,False,Observed context is not an ability score
relative_humidity_pct,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,relative_humidity_pct,Weather context,Observed relative humidity context,float,percent,True,Keep missing; no zero fill,No direct penalty direction,Weather-context stratification,False,High humidity label must not become a direct deduction
pressure_hpa,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,pressure_hpa,Weather context,Observed station pressure context,float,hPa,True,Keep missing; no zero fill,No direct penalty direction,Environmental comparison covariate,False,CODiS StnPres is station pressure not sea-level pressure
wind_speed_ms,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,wind_speed_ms,Weather context,Observed wind speed context,float,meter_per_second,True,Keep missing; no zero fill,No direct penalty direction,Weather-context stratification,False,Do not infer calm wind from missing data
wind_gust_ms,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,wind_gust_ms,Weather context,Observed wind gust context,float,meter_per_second,True,Keep missing; no zero fill,No direct penalty direction,Weather-context stratification,False,Strong gust label is descriptive only
precipitation_mm,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,precipitation_mm,Weather context,Observed precipitation context,float,millimeter,True,Keep missing; distinguish missing from observed zero,No direct penalty direction,Weather-context stratification,False,Observed zero is valid only when observation exists
sunshine_duration_min,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,sunshine_duration_min,Weather context,Observed sunshine-duration context,float,minute,True,Keep missing; no zero fill,No direct penalty direction,Weather-context stratification,False,Time-window semantics must remain documented
uv_index,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,uv_index,Weather context,Observed UV index context,float,index,True,Keep missing; no zero fill,No direct penalty direction,Weather-context stratification,False,Descriptive environmental evidence only
rain_observed,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,rain_observed,Weather context,Rain observation indicator,boolean,boolean,False,False must mean observed no rain under source contract,None; never a direct penalty,Weather comparison grouping,False,Do not conflate False with unavailable
high_humidity_observed,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,high_humidity_observed,Weather context,High-humidity descriptive indicator,boolean,boolean,False,Preserve source semantics,None; never a direct penalty,Weather comparison grouping,False,Must not be converted directly into a deduction
wind_gust_observed,weather_context,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,wind_gust_observed,Weather context,Wind-gust observation availability indicator,boolean,boolean,False,Preserve source semantics,None; availability context only,Weather evidence gate,False,Does not itself indicate gust severity
backend_use_analytics_ready_ratio,data_quality_usability,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,backend_use_analytics_ready_ratio,Data quality,Share of rows ready for analytics,float,ratio_0_1,False,Fail usability review if absent,Higher generally indicates better usability,Future activity eligibility gate,False,Threshold is intentionally undefined in planning
calibration_review_required_ratio,data_quality_usability,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,calibration_review_required_ratio,Data quality,Share of rows requiring calibration review,float,ratio_0_1,False,Fail usability review if absent,Higher generally indicates more review burden,Future activity eligibility gate,False,Threshold is intentionally undefined in planning
movement_review_required_ratio,data_quality_usability,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,movement_review_required_ratio,Data quality,Share of rows requiring movement review,float,ratio_0_1,False,Fail usability review if absent,Higher generally indicates more review burden,Future activity eligibility gate,False,Threshold is intentionally undefined in planning
activity_performance_quality_flag,data_quality_usability,outputs/ib3a_rc_full26_performance_summary_v1/activity_performance_summary.csv,activity_performance_quality_flag,Data quality,Upstream performance-evidence quality status,string,categorical,False,Reject unknown or failing status until reviewed,Gate status only,Required upstream gate,False,Current expected status is PASS_ACTIVITY_PERFORMANCE_EVIDENCE
join_status,data_quality_usability,outputs/ib3w_activity_weather_performance_join_v1/activity_weather_performance_join.csv,join_status,Data quality,Performance-weather join status,string,categorical,False,Only matched evidence may enter weather-aware comparison,Gate status only,Required join gate,False,Current modeling input contains MATCHED rows
observed_variable_count,data_quality_usability,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,observed_variable_count,Data quality,Count of observed weather variables,integer,count,False,Fail weather completeness review if absent,Higher indicates more observed context,Weather completeness gate,False,Count alone does not authorize scoring
unavailable_variable_count,data_quality_usability,outputs/ib3w_codis_weather_profile_report_v1/activity_weather_profile_report_table.csv,unavailable_variable_count,Data quality,Count of unavailable weather variables,integer,count,False,Fail weather completeness review if absent,Higher indicates more missing context,Weather completeness gate,False,Unavailable values must remain missing
