layer_name,feature_group,feature_subtype,tier,include_in_lite_preview,include_in_expanded_preview,include_in_formal_v1l_candidate,is_atomic_layer,is_umbrella_layer,duplicate_risk,duplicate_with_layers,geometry_type,feature_count_main_peak,feature_count_lengshuikeng_xiaoyoukeng,main_osm_tags,proximity_use,dwell_pause_use,route_choice_use,terrain_risk_use,emergency_support_use,suggested_interaction_type,suggested_proximity_radius_m,suggested_dwell_radius_m,suggested_priority,radar_axis_primary,radar_axis_secondary,radar_evidence_type,risk_direction,risk_weight_hint,risk_interpretation_note
handrail,terrain_technical_risk,handrail_steps,core,true,true,true,true,false,medium,highway,LineString,2,3,"highway=steps|footway;handrail;surface",true,false,false,true,false,TECHNICAL_AID_PROXIMITY,12,0,high,technical_difficulty,physical_fitness,handrail_or_stair_assistance,contextual,medium,"Handrail proximity signals a managed but potentially steep or technical segment; combine with speed, heart rate, and slope."
rungs,terrain_technical_risk,rungs,future,false,true,false,true,false,low,,Unknown,0,0,"rungs=yes",true,false,false,true,false,RUNGS_PROXIMITY,10,0,high,technical_difficulty,base_hazard,vertical_assistance,increase,high,"Future-supported vertical assistance feature."
ladder,terrain_technical_risk,ladder,future,false,true,false,true,false,low,,Unknown,0,0,"highway=ladder;ladder=yes",true,false,false,true,false,LADDER_PROXIMITY,10,0,high,technical_difficulty,base_hazard,ladder_technical_feature,increase,high,"Future-supported technical obstacle."
via_ferrata,terrain_technical_risk,via_ferrata,future,false,true,false,true,false,low,,Unknown,0,0,"via_ferrata_scale;highway=via_ferrata",true,false,false,true,false,VIA_FERRATA_PROXIMITY,15,0,high,technical_difficulty,base_hazard,via_ferrata_evidence,increase,high,"Future-supported high-technicality route feature."
street_lamp,support_infrastructure,lighting,future,false,true,false,true,false,low,,Unknown,0,0,"highway=street_lamp;lit",true,false,false,false,true,LIGHTING_SUPPORT_PROXIMITY,20,0,low,support_insufficiency,navigation,lighting_support,reduce,low,"Potential night-navigation support; currently empty."
trailhead,route_decision_information,trailhead,core,true,true,true,true,false,low,,Point,3,6,"highway=trailhead;name",true,true,true,false,false,TRAILHEAD_TRANSITION,30,35,high,navigation,support_insufficiency,route_entry_exit_decision_point,contextual,high,"Use for start/end transition, route-choice, and dwell context; a nearby trailhead does not prove the chosen route."
peak,summit_viewpoint_landmark,peak,core,true,true,true,true,false,medium,"summit_board;survey_point",Point,9,11,"natural=peak;name;ele",true,true,true,true,false,SUMMIT_OR_PEAK_STAY,35,40,high,physical_fitness,"weather_sensitivity;navigation",summit_reach_and_exposure,contextual,high,"Peak proximity can support summit reached and dwell evidence; weather exposure requires terrain/weather corroboration."
guidepost,route_decision_information,guidepost,core,true,true,true,true,false,medium,route_information,Point,15,32,"information=guidepost;tourism=information;name;direction_*",true,true,true,false,false,ROUTE_DECISION_POINT,25,30,high,navigation,,route_choice_decision_point,contextual,high,"Pause, turn, candidate switch, or wrong-route near a guidepost is navigation evidence, not automatic error."
shelter,rest_amenity,shelter,core,true,true,true,true,false,medium,"tourism;generic_context",Point|Polygon,16,21,"amenity=shelter;shelter_type;name",true,true,false,false,true,SHELTER_STOP,30,35,high,support_insufficiency,weather_sensitivity,shelter_availability,reduce,high,"Nearby shelter can reduce support insufficiency and weather exposure; dwell may indicate rest or refuge."
alpine_hut,rest_amenity,alpine_hut,future,false,true,false,true,false,low,,Unknown,0,0,"tourism=alpine_hut",true,true,false,false,true,ALPINE_HUT_STOP,40,45,medium,support_insufficiency,weather_sensitivity,overnight_or_emergency_support,reduce,high,"Future-supported support facility."
wilderness_hut,rest_amenity,wilderness_hut,future,false,true,false,true,false,low,,Unknown,0,0,"tourism=wilderness_hut",true,true,false,false,true,WILDERNESS_HUT_STOP,40,45,medium,support_insufficiency,weather_sensitivity,remote_shelter_support,reduce,high,"Future-supported support facility."
bench,rest_amenity,bench,core,true,true,true,true,false,medium,generic_context,Point|LineString,26,27,"amenity=bench",true,true,false,false,true,REST_STOP_CANDIDATE,20,25,medium,support_insufficiency,,rest_opportunity,reduce,low,"Bench proximity plus low-speed dwell can explain a rest stop; proximity alone is weak evidence."
picnic_table,rest_amenity,picnic_table,expanded,false,true,true,true,false,medium,generic_context,Point,3,3,"leisure=picnic_table",true,true,false,false,true,REST_STOP_CANDIDATE,20,30,low,support_insufficiency,,rest_opportunity,reduce,low,"Small support and dwell feature."
picnic_site,rest_amenity,picnic_site,expanded,false,true,true,true,false,medium,"tourism;generic_context",Polygon,2,2,"tourism=picnic_site",true,true,false,false,true,REST_AREA_DWELL,35,45,low,support_insufficiency,,rest_area_availability,reduce,low,"Area-based rest opportunity; use polygon distance and dwell duration."
drinking_water,water_hydrology,drinking_water,core,true,true,true,true,false,low,,Point,1,3,"amenity=drinking_water;drinking_water",true,true,false,false,true,WATER_RESUPPLY_STOP,25,30,high,support_insufficiency,,water_resupply_availability,reduce,high,"Only explicit drinking-water facilities reduce support insufficiency; natural water does not."
toilets,rest_amenity,toilets,expanded,false,true,true,true,false,medium,generic_context,Point|Polygon,7,9,"amenity=toilets;toilets:wheelchair;name",true,true,false,false,true,TOILET_STOP,30,35,medium,support_insufficiency,,sanitation_support,reduce,medium,"Support facility and possible dwell explanation."
visitor_centre,emergency_support,visitor_centre,future,false,true,false,true,false,low,,Unknown,0,0,"tourism=visitor_centre;information=office",true,true,true,false,true,VISITOR_SERVICE_STOP,50,60,medium,support_insufficiency,navigation,visitor_support,reduce,high,"Future-supported staffed support and route-information facility."
information_office,rest_amenity,information_office,expanded,false,true,true,true,false,medium,route_information,Polygon,1,2,"information=office;tourism=information;name",true,true,true,false,true,VISITOR_SERVICE_STOP,40,50,medium,support_insufficiency,navigation,staffed_information_support,reduce,medium,"Can explain dwell and provide navigation/support context."
viewpoint,summit_viewpoint_landmark,viewpoint,expanded,false,true,true,true,false,medium,tourism,Point|Polygon,9,11,"tourism=viewpoint;name;surface",true,true,false,true,false,VIEWPOINT_DWELL,30,40,medium,weather_sensitivity,physical_fitness,exposed_viewpoint_dwell,contextual,medium,"Viewpoint dwell is plausible; exposed terrain may increase weather sensitivity but requires terrain/weather evidence."
tourism,umbrella_generic,tourism_umbrella,debug,false,false,false,false,true,high,"guidepost;route_marker;board_map;viewpoint;picnic_site;information_office;summit_board",Point|Polygon,99,138,"tourism;information;amenity;name",false,false,false,false,false,DEBUG_UMBRELLA_CONTEXT,0,0,debug,navigation,"support_insufficiency;weather_sensitivity",umbrella_debug_only,unknown,none,"High duplicate risk; use only for discovery or schema QA, never formal interaction counting."
waterfall,water_hydrology,waterfall,expanded,false,true,true,true,false,low,,Point,1,1,"waterway=waterfall;name",true,true,false,true,false,WATERFALL_INTERACTION,35,45,low,base_hazard,weather_sensitivity,waterfall_hydrology_context,contextual,medium,"Can attract dwell and indicate hydrology; route hazard depends on actual crossing/proximity."
barrier,terrain_technical_risk,barrier_gate_fence,expanded,false,true,true,true,false,medium,generic_context,Point|LineString|Polygon,25,41,"barrier=gate|lift_gate|fence|wall|cattle_grid|toll_booth",true,false,true,true,false,BARRIER_TRANSITION,15,0,medium,technical_difficulty,navigation,barrier_or_access_transition,contextual,medium,"Barrier may explain slowing, turning, access transition, or technical handling; type-specific interpretation required."
emergency,umbrella_generic,emergency_umbrella,debug,false,false,false,false,true,high,"defibrillator;fire_hydrant",Point|LineString,20,25,"emergency=defibrillator|fire_hydrant|designated",false,false,false,false,false,DEBUG_EMERGENCY_UMBRELLA,0,0,debug,support_insufficiency,,umbrella_debug_only,unknown,none,"Use atomic emergency layers to avoid duplicate support evidence."
man_made,umbrella_generic,man_made_umbrella,debug,false,false,false,false,true,high,"survey_point;summit_board;monitoring_station",Point|Polygon,40,56,"man_made;survey_point;name",false,false,false,false,false,DEBUG_UMBRELLA_CONTEXT,0,0,debug,navigation,"support_insufficiency;weather_sensitivity",umbrella_debug_only,unknown,none,"Mixed infrastructure layer with high duplicate risk."
protected_area,generic_context,protected_area,expanded,false,true,false,true,false,medium,generic_context,Polygon|MultiPolygon,2,5,"boundary;leisure=nature_reserve;protect_class;name",true,false,false,true,false,PROTECTED_AREA_CONTEXT,0,0,low,base_hazard,weather_sensitivity,protected_environment_context,contextual,low,"Context only; protected status is not itself a hazard."
national_park,generic_context,national_park,future,false,true,false,true,false,medium,protected_area,Unknown,0,0,"boundary=national_park",true,false,false,false,false,NATIONAL_PARK_CONTEXT,0,0,low,support_insufficiency,navigation,managed_area_context,contextual,low,"Future-supported context; not formal risk evidence by itself."
route_information,umbrella_generic,route_information_umbrella,debug,false,false,false,false,true,high,"guidepost;route_marker;milestone;board_map;information_office",Point|Polygon,76,112,"information=route_marker|board|guidepost|office|map;tourism=information",false,false,false,false,false,DEBUG_ROUTE_INFORMATION_UMBRELLA,0,0,debug,navigation,,umbrella_debug_only,unknown,none,"High duplicate risk; atomic information layers must drive formal interactions."
route_marker,route_decision_information,route_marker,core,true,true,true,true,false,medium,"milestone;route_information",Point,33,42,"information=route_marker;highway=milestone;name",true,false,true,false,false,ROUTE_MARKER_PASS,18,0,high,navigation,,route_progress_and_decision_marker,contextual,medium,"Candidate switch or wrong-route near a route marker is useful evidence; avoid double counting milestone aliases."
board_map,route_decision_information,board_or_map,core,true,true,true,true,false,medium,"guide_map_attraction;route_information;tourism",Point,27,36,"information=board|map;board_type;map_type;name",true,true,true,false,false,MAP_BOARD_STOP,25,35,high,navigation,,map_information_decision_point,contextual,high,"Dwell or turn near a map board can support route-choice review."
guide_map_attraction,umbrella_generic,guide_map_attraction_alias,debug,false,false,false,false,true,high,"board_map;route_information;tourism",Point,27,36,"information=board|map;tourism=information;board_type",false,false,false,false,false,DEBUG_GUIDE_MAP_ALIAS,0,0,debug,navigation,,duplicate_alias_debug_only,unknown,none,"Near-duplicate of board_map; do not count separately."
warning_notice,terrain_technical_risk,warning_notice,future,false,true,false,true,false,low,,Unknown,0,0,"information=warning;hazard;description",true,true,true,true,false,WARNING_NOTICE_INTERACTION,25,30,medium,base_hazard,"technical_difficulty;navigation",warning_or_hazard_notice,contextual,high,"Future-supported warning evidence."
defibrillator,emergency_support,defibrillator,expanded,false,true,true,true,false,medium,emergency,Point,14,16,"emergency=defibrillator;location;name",true,false,false,false,true,AED_PROXIMITY,50,0,high,support_insufficiency,,emergency_response_support,reduce,high,"AED proximity indicates emergency-response support, not lower trail hazard."
fire_hydrant,emergency_support,fire_hydrant,expanded,false,true,false,true,false,medium,emergency,Point,5,8,"emergency=fire_hydrant",true,false,false,false,true,EMERGENCY_INFRA_PROXIMITY,40,0,low,support_insufficiency,,emergency_infrastructure_context,reduce,low,"Support context with limited direct relevance to hikers; keep out of lite preview."
milestone,route_decision_information,milestone,expanded,false,true,true,true,false,high,"route_marker;route_information",Point,33,43,"highway=milestone;information=route_marker;name",true,false,true,false,false,ROUTE_PROGRESS_MARKER,18,0,medium,navigation,physical_fitness,route_progress_marker,contextual,medium,"Useful progress landmark but often aliases route_marker; deduplicate by geometry and tags."
survey_point,summit_viewpoint_landmark,survey_point,expanded,false,true,false,true,false,medium,"man_made;summit_board",Point,19,26,"man_made=survey_point;survey_point;name",true,true,false,false,false,LANDMARK_PROXIMITY,18,25,low,navigation,,survey_landmark_context,contextual,low,"Landmark and possible summit evidence; weaker than named peak or summit board."
summit_board,summit_viewpoint_landmark,summit_board,core,true,true,true,true,false,medium,"peak;survey_point;man_made",Point,9,10,"man_made=summit_board;name;tourism=checkpoint",true,true,false,false,false,SUMMIT_BOARD_INTERACTION,20,30,high,navigation,"physical_fitness;weather_sensitivity",summit_confirmation_landmark,contextual,high,"Strong summit confirmation and dwell landmark; combine with peak and route phase."
monitoring_station,emergency_support,monitoring_station,expanded,false,true,false,true,false,medium,man_made,Point,0,1,"man_made=monitoring_station;monitoring:gps;monitoring:weather;name",true,false,false,false,true,MONITORING_STATION_CONTEXT,25,0,low,support_insufficiency,weather_sensitivity,monitoring_infrastructure_context,contextual,low,"Contextual infrastructure; not necessarily staffed or available for assistance."
obstacle,terrain_technical_risk,obstacle,future,false,true,false,true,false,low,,Unknown,0,0,"obstacle;barrier;description",true,false,false,true,false,OBSTACLE_PROXIMITY,12,0,high,technical_difficulty,base_hazard,route_obstacle,increase,high,"Future-supported obstacle evidence."
overgrown,terrain_technical_risk,overgrown,future,false,true,false,true,false,low,,Unknown,0,0,"overgrown=yes;condition",true,false,true,true,false,OVERGROWN_SECTION_PROXIMITY,15,0,medium,technical_difficulty,navigation,low_visibility_or_obstructed_path,increase,medium,"Future-supported trail visibility and navigation evidence."
hazard,terrain_technical_risk,hazard,future,false,true,false,true,false,low,,Unknown,0,0,"hazard;description",true,false,false,true,false,HAZARD_PROXIMITY,30,0,high,base_hazard,"technical_difficulty;weather_sensitivity",explicit_osm_hazard,increase,high,"Future-supported explicit hazard layer; tag semantics must be retained."
hiking_route,route_geometry,hiking_route_relation,future,false,true,false,true,false,low,,Unknown,0,0,"type=route;route=hiking;network;ref;osmc:symbol",true,false,true,false,false,HIKING_ROUTE_RELATION_CONTEXT,20,0,medium,navigation,,signed_route_network_context,contextual,medium,"Future-supported route relation evidence."
spring,water_hydrology,natural_spring,expanded,false,true,true,true,false,low,,Point,0,1,"natural=spring;drinking_water;name",true,true,false,true,true,SPRING_PROXIMITY,25,30,medium,weather_sensitivity,"base_hazard;support_insufficiency",natural_spring_context,contextual,medium,"A spring is not assumed potable unless drinking_water is explicitly tagged."
hot_spring,water_hydrology,hot_spring,expanded,false,true,false,true,false,medium,volcano,Point,3,3,"natural=hot_spring;name",true,true,false,true,false,THERMAL_FEATURE_PROXIMITY,30,35,low,base_hazard,weather_sensitivity,geothermal_feature_context,contextual,medium,"Geothermal context; proximity does not automatically imply route hazard."
volcano,summit_viewpoint_landmark,volcanic_feature,expanded,false,true,true,true,false,medium,"tourism;hot_spring",Point,3,11,"natural=volcano;tourism=attraction;name",true,true,false,true,false,VOLCANIC_FEATURE_PROXIMITY,35,40,medium,base_hazard,weather_sensitivity,volcanic_exposure_context,contextual,medium,"Volcanic and fumarole context can explain exposure or caution; requires proximity and terrain evidence."
generic_context,umbrella_generic,generic_context_umbrella,debug,false,false,false,false,true,high,"all atomic facility and terrain layers",Point|LineString|Polygon|MultiPolygon,305,432,"mixed IA1 normalized tags",false,false,false,false,false,DEBUG_GENERIC_CONTEXT,0,0,debug,navigation,"base_hazard;support_insufficiency;weather_sensitivity",umbrella_debug_only,unknown,none,"Do not use for formal interaction counting; retained for discovery, debugging, and schema coverage."
