semantic_group,source_field,source_value,derived_class,risk_domain,risk_meaning,risk_direction,base_score,weather_sensitive,needs_nlsc,needs_activity,implemented_in_ib1c,used_in_ib2,notes
hazard,landslide,near,landslide_nearby,terrain_risk,鄰近崩塌地或疑似滑動區,higher,0.90,yes,yes,no,yes,no,
hydrology,waterway,near,waterway_nearby,hydrology_risk,鄰近溪流或水道，雨後濕滑與水位風險提高,higher,0.45,yes,yes,no,yes,no,
hydrology,wetland,near,wetland_nearby,hydrology_risk,濕地或潮濕環境，泥濘與濕滑風險提高,higher,0.55,yes,yes,no,yes,no,
hydrology,water_area,near,water_area_nearby,hydrology_risk,鄰近水域，需注意濕滑與水文環境,higher,0.40,yes,yes,no,yes,no,
navigation_support,guidepost,near,guidepost_nearby,navigation_support,附近有路標，可降低部分導航不確定性,lower,-0.20,no,no,no,yes,no,未來應改成距離/密度
navigation_support,trailhead,near,trailhead_nearby,navigation_support,鄰近登山口，有助於起終點定位,lower,-0.15,no,no,no,yes,no,
navigation_support,peak,near,peak_nearby,landmark_context,鄰近山頂或高點地標，可作為路線控制點,neutral,0.00,no,no,no,yes,no,
support,shelter,near,shelter_nearby,support_availability,附近有避難或遮蔽設施，可降低事故後果嚴重度,lower,-0.25,yes,no,no,yes,no,
support,bench,near,bench_nearby,rest_availability,附近有座椅或休息點，有助疲勞恢復,lower,-0.10,no,no,no,yes,no,
support,picnic_table,near,picnic_table_nearby,rest_availability,附近有休息設施,lower,-0.10,no,no,no,yes,no,
support,drinking_water,near,drinking_water_nearby,support_availability,附近有飲水設施，可降低補給風險,lower,-0.20,no,no,no,yes,no,
support,toilets,near,toilets_nearby,support_availability,附近有廁所，通常代表接近服務區或管理區,lower,-0.10,no,no,no,yes,no,
support,information_office,near,information_office_nearby,support_availability,附近有資訊服務點，可提高支援能力,lower,-0.20,no,no,no,yes,no,
lighting,lit,yes,lit_available,night_navigation_support,有照明支援，夜間路線辨識風險較低,lower,-0.20,no,no,no,yes,no,
lighting,lit,no,lit_unavailable,night_navigation_risk,缺乏照明，夜間路線辨識風險提高,higher,0.50,no,no,no,yes,no,
lighting,lit,unknown,unknown_lighting,night_navigation_risk,OSM 未標註照明狀態，夜間風險不可視為低風險,higher,0.25,no,no,no,yes,no,unknown 應給予不確定性懲罰
lighting,street_lamp,near,street_lamp_nearby,night_navigation_support,附近有路燈，夜間支援較佳,lower,-0.20,no,no,no,yes,no,
surface,surface,paving_stones,paved_stone,slip_risk,鋪石路面，乾燥時相對穩定但雨天可能濕滑,higher,0.20,yes,no,no,yes,no,冷水坑路線大量命中；風險低於碎石/泥土，但仍具天候敏感性
route_type,highway,service,service_road,route_difficulty,服務道路或設施接近路段，通常通行條件較穩定但不屬山徑主體,neutral,0.10,no,no,no,yes,no,多見於登山口或設施接近段；若大量出現需檢查 nearest highway 是否被道路搶走
support,picnic_site,near,picnic_site_nearby,rest_availability,rest / informal stopping support,lower,-0.10,no,no,no,yes,no,OSM tourism=picnic_site；代表野餐區或可停留休息空間，屬於休息支援語意，降低少量風險，不代表路線本身較容易。
support,picnic_site,picnic_site,picnic_site_nearby,rest_availability,野餐區或可停留休息空間，屬於休息支援語意,lower,-0.10,no,no,no,yes,no,2026-06-01 v1.3b 多路線 audit 新增；與 picnic_site=near 同義，表示支援/休息脈絡，不代表路線本身較容易。
navigation_support,route_marker,near,route_marker_nearby,navigation_support,route marker / trail marking nearby,lower,-0.15,no,no,no,yes,no,OSM information=route_marker；代表路線標記或登山路標，有助於方向辨識與降低迷路風險。
navigation_support,milestone,near,milestone_nearby,route_continuity,milestone or distance marker nearby,lower,-0.10,no,no,no,yes,no,OSM highway=milestone；代表里程樁或距離標示，有助於確認路線連續性與進度感。
navigation_support,board_map,near,board_map_nearby,navigation_support,map board nearby,lower,-0.12,no,no,no,yes,no,OSM information=board/map；代表導覽牌或地圖牌，有助於路線確認與方向判斷，屬於導航支援。
landmark,guide_map_attraction,near,guide_map_attraction_nearby,landmark_context,guide map / attraction board nearby,neutral,0.00,no,no,no,yes,no,導覽圖或景點牌可作為中繼點、景點點位或 waypoint 候選，但不直接代表風險降低，因此設為中性。
support,defibrillator,near,defibrillator_nearby,emergency_support,AED nearby / emergency support,lower,-0.08,no,no,no,yes,no,OSM emergency=defibrillator；代表附近有 AED，屬於都市或郊山救援支援條件，降低少量整體風險。
support,fire_hydrant,near,fire_hydrant_nearby,emergency_support,fire hydrant nearby / rescue infrastructure context,lower,-0.03,no,no,no,yes,no,OSM emergency=fire_hydrant；代表消防栓等公共救援基礎設施，屬於弱支援訊號，不應過度降低風險。
support,emergency,near,emergency_nearby,emergency_support,generic emergency feature nearby,lower,-0.04,no,no,no,yes,no,OSM emergency=*；代表一般緊急設施或救援相關標籤，屬於外部支援條件，不代表路線本身危險度降低。
hazard,hazard,near,hazard_nearby,technical_risk_hint,explicit OSM hazard nearby,higher,0.85,yes,no,no,yes,no,OSM hazard=*；代表明確危險標註，例如落石、崩塌、危險路段等，應視為強風險訊號，天候不佳時可再放大。
hazard,obstacle,near,obstacle_nearby,route_continuity,obstacle nearby,higher,0.65,yes,no,no,yes,no,OSM obstacle=*；代表路徑障礙或通行受阻，會影響路線連續性與通行安全，屬於中高風險訊號。
hazard,overgrown,near,overgrown_nearby,route_continuity,overgrown trail context,higher,0.55,yes,no,no,yes,no,OSM overgrown=*；代表草木茂密、路跡不清或維護不足，可能增加迷路、滑倒與通行困難風險。
landmark,summit_board,near,summit_board_nearby,landmark_context,summit board nearby,neutral,0.00,no,no,no,yes,no,OSM man_made=summit_board；代表山頂牌或地標牌，適合作為目的地或 waypoint，不直接增加或降低風險。
landmark,survey_point,near,survey_point_nearby,landmark_context,survey point nearby,neutral,0.00,no,no,no,yes,no,OSM man_made=survey_point 或 survey_point=*；代表三角點、測量點或地理參考點，屬於地標脈絡，不直接影響風險。
support,monitoring_station,near,monitoring_station_nearby,support_availability,monitoring station nearby,lower,-0.03,no,no,no,yes,no,OSM monitoring:*；代表監測站或基礎設施，通常表示附近有人為設施與管理脈絡，僅給弱支援分數。
