activity_id,prior_route_following_proxy_value,mainline_floor_applied,preliminary_after_mainline_floor,anchor_miss_soft_penalty,wrong_branch_penalty,active_off_route_penalty,gps_drift_refit_credit,post_finish_exclusion_credit,route_following_adjusted_proxy_value,post_finish_policy,gps_refit_policy,anchor_policy,wrong_branch_policy
35_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
36_1,65.47,68.0,68.0,0.0,0.0,2.0,0.0,0.5,66.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
37_1,13.0,68.0,68.0,0.0,0.0,2.0,0.0,0.5,66.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
38_1,100.0,88.0,100.0,0.0,0.0,0.0,0.0,0.5,100.0,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
3_1,51.5,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
40_1,74.65,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
41_1,91.55,88.0,91.55,0.0,0.0,0.0,0.0,0.5,92.05,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
42_1,5.0,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
43_1,18.0,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
44_1,56.6,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
45_1,91.35,88.0,91.35,0.0,0.0,0.0,0.0,0.5,91.85,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
46_1,13.92,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
48_1,11.0,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
8_1,35.35,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
9_1,44.3,82.0,82.0,0.0,0.0,0.0,0.0,0.5,82.5,EXCLUDED_FROM_ACTIVE_ROUTE_FOLLOWING_PENALTY,NO_PENALTY_WHEN_REFIT_TO_OSM_ROUTE_IS_CORRECT,SOFT_REVIEW_PENALTY_ONLY,STRONGER_PENALTY_WHEN_EVIDENCE_EXISTS
