activity_id_short,study_population_status,in_radar_baseline,has_horizontal_300s_evidence,has_vertical_300s_evidence,has_both_horizontal_and_vertical_300s_evidence,horizontal_300s_valid_window_count,horizontal_300s_route_speed_p90_mps,vertical_300s_valid_window_count,vertical_300s_gain_p90_m,vertical_300s_vam_p90_mph,horizontal_hr_p90_pct_hrmax_at_speed_p90_window,vertical_hr_p90_pct_hrmax_at_vam_p90_window,profile_join_status,interpretation_boundary
33_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
35_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,0,,1,11.727,140.724,,94.4838885854724,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
36_1,RADAR_BASELINE_ACTIVITY,True,True,False,False,1,1.6866666666666668,0,,,108.27664399092971,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
37_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,0,,4,15.610600000000002,187.3272,,97.75280898876404,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
38_1,RADAR_BASELINE_ACTIVITY,True,False,True,False,0,,17,22.5098,271.6930909090909,,83.19467554076539,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
3_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
40_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
41_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
42_1,RADAR_BASELINE_ACTIVITY,True,True,False,False,3,1.868,0,,,97.6349302607641,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
43_1,RADAR_BASELINE_ACTIVITY,True,True,True,True,4,1.963666666666667,1,10.756000000000002,129.07200000000003,92.81437125748504,90.41916167664672,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
44_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
45_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
46_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
48_1,RADAR_BASELINE_ACTIVITY,True,True,False,False,1,1.9466666666666668,0,,,79.88505747126436,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
8_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
9_1,RADAR_BASELINE_ACTIVITY,True,False,False,False,0,,0,,,,,PROFILE_JOINED,"CH6.5.5 300s movement evidence admission review v1 is admission-review evidence only. It reviews corrected 300-second horizontal, vertical, HR, route-continuity, and artifact-guard evidence. It does not compute or authorize radar scores, ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
