semantic_group,source_field,source_value,derived_class,risk_domain,risk_meaning,risk_direction,base_score,weather_sensitive,needs_nlsc,needs_activity,implemented_in_ib1c,used_in_ib2,notes
navigation_support,guidepost,near,guidepost_nearby,navigation_support,附近有路標，可降低部分導航不確定性,lower,-0.20,no,no,no,yes,no,未來應改成距離/密度
navigation_support,trailhead,near,trailhead_nearby,navigation_support,鄰近登山口，有助於起終點定位,lower,-0.15,no,no,no,yes,no,
navigation_support,peak,near,peak_nearby,landmark_context,鄰近山頂或高點地標，可作為路線控制點,neutral,0.00,no,no,no,yes,no,
support,shelter,near,shelter_nearby,support_availability,附近有避難或遮蔽設施，可降低事故後果嚴重度,lower,-0.25,yes,no,no,yes,no,
support,bench,near,bench_nearby,rest_availability,附近有座椅或休息點，有助疲勞恢復,lower,-0.10,no,no,no,yes,no,
support,picnic_table,near,picnic_table_nearby,rest_availability,附近有休息設施,lower,-0.10,no,no,no,yes,no,
support,drinking_water,near,drinking_water_nearby,support_availability,附近有飲水設施，可降低補給風險,lower,-0.20,no,no,no,yes,no,
support,toilets,near,toilets_nearby,support_availability,附近有廁所，通常代表接近服務區或管理區,lower,-0.10,no,no,no,yes,no,
support,information_office,near,information_office_nearby,support_availability,附近有資訊服務點，可提高支援能力,lower,-0.20,no,no,no,yes,no,
lighting,lit,yes,lit_available,night_navigation_support,有照明支援，夜間路線辨識風險較低,lower,-0.20,no,no,no,yes,no,
lighting,lit,no,lit_unavailable,night_navigation_risk,缺乏照明，夜間路線辨識風險提高,higher,0.50,no,no,no,yes,no,
lighting,lit,unknown,unknown_lighting,night_navigation_risk,OSM 未標註照明狀態，夜間風險不可視為低風險,higher,0.25,no,no,no,yes,no,unknown 應給予不確定性懲罰
lighting,street_lamp,near,street_lamp_nearby,night_navigation_support,附近有路燈，夜間支援較佳,lower,-0.20,no,no,no,yes,no,
surface,surface,paving_stones,paved_stone,slip_risk,鋪石路面，乾燥時相對穩定但雨天可能濕滑,higher,0.20,yes,no,no,yes,no,冷水坑路線大量命中；風險低於碎石/泥土，但仍具天候敏感性
route_type,highway,service,service_road,route_difficulty,服務道路或設施接近路段，通常通行條件較穩定但不屬山徑主體,neutral,0.10,no,no,no,yes,no,多見於登山口或設施接近段；若大量出現需檢查 nearest highway 是否被道路搶走
