field_name,output_level,field_group,source_field_or_rule,aggregation,required,missing_policy,interpretation_boundary
route_profile_elevation_min_m,window,route_load,elevation_profile_ele_smooth_m,min,False,blank if unavailable,Route-profile elevation context
route_profile_elevation_max_m,window,route_load,elevation_profile_ele_smooth_m,max,False,blank if unavailable,Route-profile elevation context
route_profile_elevation_range_m,window,route_load,elevation_profile_ele_smooth_m,max minus min,False,blank if unavailable,Not cumulative ascent or descent
ib2_terrain_evidence_median,window,route_load,ib2_terrain_score,median,False,blank if unavailable,Existing IB2 route evidence; not a personal ability label
ib2_effort_evidence_median,window,route_load,ib2_effort_score,median,False,blank if unavailable,Existing IB2 route evidence; not a personal ability label
ib2_exposure_evidence_median,window,route_load,ib2_exposure_score,median,False,blank if unavailable,Existing IB2 route evidence; not a personal ability label
ib2_risk_band_evidence,window,route_load,ib2_risk_band,mode,False,blank if unavailable,Existing route-risk band evidence only
route_load_context_band,window,route_load,descriptive slope/effort/risk-band rule,descriptive classification,True,fail,Window load context only; not an ability class
osm_exposure_types,window,environment,near_*_flag,distinct pipe-delimited exposure names,False,blank if unavailable,Proximity exposure does not prove facility use
near_steps_ratio,window,environment,near_steps_flag,mean boolean,False,blank if unavailable,Exposure ratio only
near_guidepost_ratio,window,environment,near_guidepost_flag,mean boolean,False,blank if unavailable,Exposure ratio only
near_shelter_ratio,window,environment,near_shelter_flag,mean boolean,False,blank if unavailable,Exposure ratio only
near_waterway_ratio,window,environment,near_waterway_flag,mean boolean,False,blank if unavailable,Exposure ratio only
near_cliff_ratio,window,environment,near_cliff_flag,mean boolean,False,blank if unavailable,Exposure ratio only
near_road_ratio,window,environment,near_road_flag,mean boolean,False,blank if unavailable,Exposure ratio only
nearest_environment_feature_distance_m_min,window,environment,selected nearest_*_dist_m,min,False,blank if unavailable,Nearest mapped evidence only
temperature_c,window|activity,weather,activity route-profile ascent feature row,activity-level attach,False,blank; never zero-fill,Observed weather context only
relative_humidity_pct,window|activity,weather,activity route-profile ascent feature row,activity-level attach,False,blank; never zero-fill,Observed weather context only
precipitation_mm,window|activity,weather,activity route-profile ascent feature row,activity-level attach,False,blank; never zero-fill,Observed weather context only
wind_speed_ms,window|activity,weather,activity route-profile ascent feature row,activity-level attach,False,blank; never zero-fill,Observed weather context only
wind_gust_ms,window|activity,weather,activity route-profile ascent feature row,activity-level attach,False,blank; never zero-fill,Observed weather context only
uv_index,window|activity,weather,activity route-profile ascent feature row,activity-level attach,False,blank; never zero-fill,Observed weather context only
weather_context_flags,window|activity,weather,candidate_weather_context_flags_reattached,activity-level attach,False,blank if unavailable,Flags are descriptive context and not penalties
weather_context_available,window|activity,weather,any numeric weather value present,boolean,True,False when unavailable,Availability gate only
window_qa_flags,window,qa,source review flags and missing-field checks,distinct pipe-delimited flags,True,blank when none,Review evidence only
high_load_window_count,activity,summary,route_load_context_band == HIGH_ROUTE_LOAD_EVIDENCE,count,True,fail,Descriptive window count; no person ranking
high_load_speed_mps_median,activity,summary,window speed where high-load evidence,median,False,blank if unavailable,Behavior evidence under route-load context
high_load_stopped_ratio_mean,activity,summary,window stopped ratio where high-load evidence,mean,False,blank if unavailable,Behavior evidence under route-load context
high_load_low_speed_ratio_mean,activity,summary,window low-speed ratio where high-load evidence,mean,False,blank if unavailable,Behavior evidence under route-load context
high_load_heart_rate_bpm_median,activity,summary,window HR where high-load evidence,median,False,blank if unavailable,Physiology evidence under route-load context
legacy_gain_fields_used_count,audit,boundary,blocked legacy field usage counter,count,True,must be 0,Any nonzero value fails the smoke
prohibited_score_rank_class_generated_count,audit,boundary,generated prohibited output field counter,count,True,must be 0,Any nonzero value fails the smoke
audit_conclusion,audit,qa,all smoke checks,gate conclusion,True,fail,PASS only confirms schema and fixture evidence flow
