activity_id_short,axis_id,axis_label_zh,component_id,component_weight,component_raw_metric,component_raw_value,component_raw_direction,component_group_relative_index_0_100,component_available,component_missing_reason,component_description,interpretation_boundary
20_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.02531645569620253,lower_is_better,75.0,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.0,lower_is_better,85.417,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
20_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.7628705220792774,higher_is_better,100.0,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.508007416033837,lower_is_better,87.5,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.0,lower_is_better,91.667,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.0,lower_is_better,85.417,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
23_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.6815813276048975,higher_is_better,87.5,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.4566821627227854,lower_is_better,95.833,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.08333333333333333,lower_is_better,27.083,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.011904761904761904,lower_is_better,54.167,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.009111388571188095,lower_is_better,41.667,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
28_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.6747213778453576,higher_is_better,79.167,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.6755333232727871,lower_is_better,25.0,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.0,lower_is_better,91.667,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.0,lower_is_better,85.417,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.05829379981617566,lower_is_better,12.5,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
29_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.5536155103538575,higher_is_better,12.5,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.6890042751502345,lower_is_better,20.833,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.0,lower_is_better,91.667,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.0,lower_is_better,85.417,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
30_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.5247928747167898,higher_is_better,4.167,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.5813729909034191,lower_is_better,70.833,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.04938271604938271,lower_is_better,60.417,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,pacing_movement_stability,配速／移動穩定性,stopped_clustering_inverse_index,0.2,stopped_cluster_max_run_fraction,0.012345679012345678,lower_is_better,22.917,True,,Less consecutive clustering of stopped windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,pacing_movement_stability,配速／移動穩定性,late_stage_degradation_inverse_index,0.2,late_stage_speed_degradation_ratio,0.0,lower_is_better,72.917,True,,Less late-stage speed degradation is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
33_1,pacing_movement_stability,配速／移動穩定性,high_route_load_speed_maintenance_index,0.15,high_route_load_speed_maintenance_ratio,0.5800187027968534,higher_is_better,29.167,True,,Higher speed maintenance in high route-load windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
35_1,pacing_movement_stability,配速／移動穩定性,speed_variability_inverse_index,0.25,speed_cv_iqr_over_median,0.6152598944231824,lower_is_better,54.167,True,,Lower robust window-speed variability is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
35_1,pacing_movement_stability,配速／移動穩定性,low_speed_clustering_inverse_index,0.2,low_speed_high_cluster_max_run_fraction,0.0,lower_is_better,91.667,True,,Less consecutive clustering of high low-speed windows is more stable.,"CH6.5.5 pacing / movement stability axis v1 is descriptive route-window evidence only. It uses route-distance-window normalized evidence and converts component metrics into higher-is-better group-relative indices. Missing component evidence is not zero-filled. It does not compute or authorize ability scores, ability ranks, ability classes, THCI scores, radar scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality claims."
