activity_id_short,participant_id,png_file,mean_available_axis_index_0_100,supported_axis_count,limited_proxy_axis_count,insufficient_evidence_axis_count,radar_readiness_label,activity_history_primary_label,numeric_attribution_label_v0_5,suggested_report_case_role,interpretation_boundary
28_1,28,radar_preview_activity_28_1_v0_2.png,41.067,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
40_1,40,radar_preview_activity_40_1_v0_2.png,42.733,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
8_1,8,radar_preview_activity_8_1_v0_2.png,48.133,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
41_1,41,radar_preview_activity_41_1_v0_2.png,54.0,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
36_1,36,radar_preview_activity_36_1_v0_2.png,54.533,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HRMAX_ESTIMATE_OR_SENSOR_REVIEW_CONTEXT,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
20_1,20,radar_preview_activity_20_1_v0_2.png,59.733,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
30_1,30,radar_preview_activity_30_1_v0_2.png,59.733,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
45_1,45,radar_preview_activity_45_1_v0_2.png,63.467,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
3_1,3,radar_preview_activity_3_1_v0_2.png,64.133,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
33_1,33,radar_preview_activity_33_1_v0_2.png,68.067,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
44_1,44,radar_preview_activity_44_1_v0_2.png,71.2,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,ACTIVITY_HISTORY_SINGLE_FACTOR_HR_BEHAVIOR_REVIEW_NEEDS_NUMERIC_CHECK,SINGLE_FACTOR_HR_PLUS_MOVEMENT_NUMERIC_REVIEW,NUMERIC_DETAIL_REVIEW_NOT_PRIMARY_CASE_YET,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
29_1,29,radar_preview_activity_29_1_v0_2.png,71.333,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,REFERENCE_OR_LIMITED_ACTIVITY_HISTORY_CONTEXT,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
35_1,35,radar_preview_activity_35_1_v0_2.png,74.2,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
14_1,14,radar_preview_activity_14_1_v0_2.png,75.4,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
15_1,15,radar_preview_activity_15_1_v0_2.png,75.6,2,3,2,PARTIAL_RADAR_WITH_INSUFFICIENT_EVIDENCE_AXES,HIGH_HR_CONTROLLED_OUTPUT_CONTEXT_NOT_STRAIN,,,"Descriptive CH6.5.5 personal activity performance radar preview only. Axis values are group-relative descriptive indices for visualization and review. They are not ability scores, ability ranks, ability classes, THCI scores, final hiking risk scores, route suitability scores, go/no-go decisions, medical diagnoses, or causality evidence. Missing axes are not zero-filled."
