case_id,control_id,control_role,phase,name,lat,lon,required,order,route_action,note
juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,end,end,end,七星山冷水坑登山口,25.166162299999996,121.5633121,false,5,trim_anchor,FIT CSV routebuffer source; from IB0C end anchor
qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,start,start,start,七星山冷水坑登山口,25.166162299999996,121.5633121,false,1,trim_anchor,from IB0C start anchor
qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,via_up_01,ascent_via,ascent,上山必經點,25.165082087184,121.559669111,true,2,required_way,force ascent required way; OSM id resolved by current IB0A run
qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,turnaround,turnaround,turnaround,七星山,25.1707017,121.5534401,false,3,anchor_only,from IB0C via / summit anchor
qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,via_down_01,descent_via,descent,下山必經點,25.1648746951997,121.559637453451,true,4,required_way,force descent required way; OSM id resolved by current IB0A run
qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,end,end,end,七星山冷水坑登山口,25.166162299999996,121.5633121,false,5,trim_anchor,from IB0C end anchor
zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,start,start,start,中華技術學院步道入口起點,25.032928,121.604791,false,1,trim_anchor,"from GPX start; same-entry roundtrip route; snapped_to_current_osm_projected_point; original_gpx_start_end=25.03362555421738,121.61117421859963; projected_from_way=osm_id=119;osm_way_id=119; original_offset_m=19.153975673967167; route_axis_start_end_updated_from_gpx_idx_116_889_near_trail_core_way_234; original_activity_start_end=25.03362555421738,121.61117421859963"
zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,turnaround,turnaround,turnaround,九五峰折返點,25.02626493002,121.586545298305,false,3,anchor_only,from GPX highest elevation point; ele_m=356.0; point_index=502
zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,end,end,end,中華技術學院步道入口終點,25.032928,121.604791,false,5,trim_anchor,"from GPX end; same as start; snapped_to_current_osm_projected_point; original_gpx_start_end=25.03362555421738,121.61117421859963; projected_from_way=osm_id=119;osm_way_id=119; original_offset_m=19.153975673967167; route_axis_start_end_updated_from_gpx_idx_116_889_near_trail_core_way_234; original_activity_start_end=25.03362555421738,121.61117421859963"
taichung_guguan_butterfly_valley_waterfall_20260630,start,start,start,松鶴登山口 / GPX start,24.16625546,120.96807735,false,1,trim_anchor,formal_candidate=true; nearest_osm_trailhead_m=67.5; nearest_osm_guidepost_m=802.2; nearest_named_butterfly_highway_m=0.0; nearest_highway_m=0.0; gpx_total_m=6218.4; gpx_cum_m=0.0; start_end_separation_m=2.7; added_to_route_control_points_v1_3b=true; source=manual_reviewed_candidate_control_points
taichung_guguan_butterfly_valley_waterfall_20260630,butterfly_trail_start_candidate,ascent_via,ascent,蝴蝶谷瀑布步道起點 / 分岔,24.16232093,120.97211204,false,2,anchor_only,formal_candidate=true; nearest_osm_trailhead_m=664.2; nearest_osm_guidepost_m=449.2; nearest_named_butterfly_highway_m=2.4; nearest_highway_m=2.4; gpx_total_m=6218.4; trail_start_route_km=1.420; trail_display_length_km=1.600; trail_osm_length_km=1.241; added_to_route_control_points_v1_3b=true; source=manual_reviewed_candidate_control_points
taichung_guguan_butterfly_valley_waterfall_20260630,turnaround_candidate,turnaround,turnaround,蝴蝶谷瀑布 / GPX turnaround,24.1611982,120.97932782,false,3,anchor_only,formal_candidate=true; nearest_osm_trailhead_m=1340.4; nearest_osm_guidepost_m=1034.7; nearest_named_butterfly_highway_m=5.9; nearest_highway_m=5.9; gpx_total_m=6218.4; gpx_half_cum_m=3109.2; farthest_from_start_cum_m=3044.6; half_to_farthest_m=28.4; farthest_start_distance_m=1286.5; added_to_route_control_points_v1_3b=true; source=manual_reviewed_candidate_control_points
taichung_guguan_butterfly_valley_waterfall_20260630,butterfly_trail_return_candidate,descent_via,descent,蝴蝶谷瀑布步道起點 / 分岔 回程,24.16232093,120.97211204,false,4,anchor_only,formal_candidate=true; same_coordinates_as=butterfly_trail_start_candidate; out_and_back_return_via=true; nearest_osm_trailhead_m=664.2; nearest_osm_guidepost_m=449.2; nearest_named_butterfly_highway_m=2.4; nearest_highway_m=2.4; gpx_total_m=6218.4; trail_start_route_km=1.420; trail_display_length_km=1.600; trail_osm_length_km=1.241; updated_role_phase_to_match_existing_v1_3b_config: descent_via/descent; added_to_route_control_points_v1_3b=true; source=manual_reviewed_candidate_control_points
taichung_guguan_butterfly_valley_waterfall_20260630,end,end,end,松鶴登山口 / GPX end,24.16623778,120.96805958,false,5,trim_anchor,formal_candidate=true; nearest_osm_trailhead_m=67.1; nearest_osm_guidepost_m=800.6; nearest_named_butterfly_highway_m=1.5; nearest_highway_m=1.5; gpx_total_m=6218.4; gpx_cum_m=6218.4; start_end_separation_m=2.7; added_to_route_control_points_v1_3b=true; source=manual_reviewed_candidate_control_points
hehuan_north_peak_garmin_with_waypoints_v1,start,start,start,合歡山北(西)峰登山口,24.165714,121.2893548,false,1,trim_anchor,Shanghe expected-time endpoint; out_and_back_start; primary_seed=hehuan_north_garmin_with_waypoints.gpx
hehuan_north_peak_garmin_with_waypoints_v1,ascent_via_01,ascent_via,ascent,1.4k碧池岔路,24.1775868,121.2853222,false,2,anchor_only,Shanghe expected-time main intermediate point; reflector downgraded to FIT11 review evidence only
hehuan_north_peak_garmin_with_waypoints_v1,turnaround,turnaround,turnaround,合歡山北峰,24.1815125,121.2815943,false,3,anchor_only,Shanghe expected-time summit turnaround; primary route seed remains Garmin GPX
hehuan_north_peak_garmin_with_waypoints_v1,descent_via_01,descent_via,descent,1.4k碧池岔路 回程,24.1775868,121.2853222,false,4,anchor_only,Same coordinates as ascent_via_01 but separate descent route position for out-and-back; reflector remains review evidence only
hehuan_north_peak_garmin_with_waypoints_v1,end,end,end,合歡山北(西)峰登山口 回程,24.165714,121.2893548,false,5,trim_anchor,Same coordinates as start but separate end route position for out-and-back; primary_seed=hehuan_north_garmin_with_waypoints.gpx
