activity_id_short,route_load_context_band,window_point_count,hr_median_bpm,hr_p75_bpm,speed_mps_median,speed_per_hr_mps_per_bpm,boundary
15_1,LOWER_ROUTE_LOAD_CONTEXT,763,156.0,162.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
15_1,MODERATE_ROUTE_LOAD_CONTEXT,2662,113.0,149.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
15_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2317,162.0,170.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,HIGH_ROUTE_LOAD_CONTEXT,1381,140.0,159.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,LOWER_ROUTE_LOAD_CONTEXT,1587,132.0,141.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,MODERATE_ROUTE_LOAD_CONTEXT,3638,119.0,132.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
16_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,3580,138.0,156.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,HIGH_ROUTE_LOAD_CONTEXT,1199,157.0,165.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,LOWER_ROUTE_LOAD_CONTEXT,1319,144.0,152.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,MODERATE_ROUTE_LOAD_CONTEXT,3969,129.0,142.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
20_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2511,157.0,168.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,HIGH_ROUTE_LOAD_CONTEXT,2339,135.0,156.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,LOWER_ROUTE_LOAD_CONTEXT,1127,128.0,136.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,MODERATE_ROUTE_LOAD_CONTEXT,4309,114.0,126.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
23_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,3530,138.0,160.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,HIGH_ROUTE_LOAD_CONTEXT,1215,157.0,165.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,LOWER_ROUTE_LOAD_CONTEXT,1181,142.0,147.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,MODERATE_ROUTE_LOAD_CONTEXT,3213,121.0,143.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
28_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,3013,154.0,166.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,HIGH_ROUTE_LOAD_CONTEXT,1945,144.0,162.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,LOWER_ROUTE_LOAD_CONTEXT,1043,143.0,160.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,MODERATE_ROUTE_LOAD_CONTEXT,2392,108.0,131.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
29_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2220,146.0,164.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,HIGH_ROUTE_LOAD_CONTEXT,392,152.5,157.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,LOWER_ROUTE_LOAD_CONTEXT,234,133.0,140.75,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,MODERATE_ROUTE_LOAD_CONTEXT,587,110.0,134.5,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
30_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,660,140.0,158.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,HIGH_ROUTE_LOAD_CONTEXT,1422,150.0,161.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,LOWER_ROUTE_LOAD_CONTEXT,797,139.0,150.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,MODERATE_ROUTE_LOAD_CONTEXT,2598,91.0,129.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
33_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,1746,153.0,164.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
35_1,HIGH_ROUTE_LOAD_CONTEXT,1720,152.5,165.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
35_1,LOWER_ROUTE_LOAD_CONTEXT,818,144.0,154.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
35_1,MODERATE_ROUTE_LOAD_CONTEXT,2698,102.0,132.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
35_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2314,159.0,167.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,HIGH_ROUTE_LOAD_CONTEXT,1432,179.0,183.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,LOWER_ROUTE_LOAD_CONTEXT,867,174.0,179.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,MODERATE_ROUTE_LOAD_CONTEXT,3319,147.0,173.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
36_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2383,178.0,188.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,HIGH_ROUTE_LOAD_CONTEXT,753,120.0,130.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,LOWER_ROUTE_LOAD_CONTEXT,394,116.5,122.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,MODERATE_ROUTE_LOAD_CONTEXT,1079,110.0,119.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
38_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,1009,125.0,138.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,HIGH_ROUTE_LOAD_CONTEXT,1413,130.0,149.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,LOWER_ROUTE_LOAD_CONTEXT,886,116.0,127.75,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,MODERATE_ROUTE_LOAD_CONTEXT,3114,92.0,111.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
3_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2446,120.0,155.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,HIGH_ROUTE_LOAD_CONTEXT,1209,147.0,152.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,LOWER_ROUTE_LOAD_CONTEXT,887,141.0,147.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,MODERATE_ROUTE_LOAD_CONTEXT,2902,105.0,131.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
40_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2682,145.0,152.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,HIGH_ROUTE_LOAD_CONTEXT,903,154.0,159.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,LOWER_ROUTE_LOAD_CONTEXT,571,149.0,155.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,MODERATE_ROUTE_LOAD_CONTEXT,2682,118.0,137.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
41_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,2898,151.0,157.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,HIGH_ROUTE_LOAD_CONTEXT,1371,137.0,155.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,LOWER_ROUTE_LOAD_CONTEXT,1550,135.0,149.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,MODERATE_ROUTE_LOAD_CONTEXT,3295,111.0,131.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
42_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,4051,143.0,159.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,HIGH_ROUTE_LOAD_CONTEXT,2825,131.0,141.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,LOWER_ROUTE_LOAD_CONTEXT,1179,122.0,127.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,MODERATE_ROUTE_LOAD_CONTEXT,3375,113.0,123.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
43_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,4054,129.0,143.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,HIGH_ROUTE_LOAD_CONTEXT,2853,113.0,158.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,LOWER_ROUTE_LOAD_CONTEXT,450,169.0,172.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,MODERATE_ROUTE_LOAD_CONTEXT,2088,122.0,144.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
44_1,VERY_HIGH_ROUTE_LOAD_CONTEXT,1599,164.0,170.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
45_1,HIGH_ROUTE_LOAD_CONTEXT,1104,157.0,165.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
45_1,LOWER_ROUTE_LOAD_CONTEXT,792,151.0,158.0,,,"Descriptive HR lifecycle and recovery profile only. Heart-rate level, route-load response, recovery slope, fatigue drift, weather/event context, and movement behavior are descriptive evidence. This output is not a cardiopulmonary diagnosis, not ability scoring, not route suitability scoring, not THCI/radar scoring, and not a final hiking risk assessment."
