relative_path,name,type,depth,role,stage_or_scope,formal_status,used_by_current_pipeline,current_pipeline_blocker,reason,recommended_action
cache/5eba45aba5abec6b423fdb99b2cba8a15100e04d.json,5eba45aba5abec6b423fdb99b2cba8a15100e04d.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/5f5cd13fc62363da84acbcf3b418e3a9bd74689a.json,5f5cd13fc62363da84acbcf3b418e3a9bd74689a.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/63f9f79022e71f03fb682d659a159edaefdd183c.json,63f9f79022e71f03fb682d659a159edaefdd183c.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/645222b3ef64f6ea6fd39784c1499a82aaa84735.json,645222b3ef64f6ea6fd39784c1499a82aaa84735.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/6748891b68d52c27379bed9864d51335295af1d0.json,6748891b68d52c27379bed9864d51335295af1d0.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/6d929a8817560d8d2508c67b8b3c964b9bff465a.json,6d929a8817560d8d2508c67b8b3c964b9bff465a.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/6f3ee207bfdbed36f8a5678c18da62c48efb3d84.json,6f3ee207bfdbed36f8a5678c18da62c48efb3d84.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/759a9f260fae13d0faaf298591e24b46ac60fbd0.json,759a9f260fae13d0faaf298591e24b46ac60fbd0.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/7778f113ddb0fe90433fb8316c0df958bd315328.json,7778f113ddb0fe90433fb8316c0df958bd315328.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/7b583fadb6713eff4509ef8fa0e9d769fdd346c6.json,7b583fadb6713eff4509ef8fa0e9d769fdd346c6.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/7f40c03e53eb73f2ad289627db5319c3d5326696.json,7f40c03e53eb73f2ad289627db5319c3d5326696.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/82df379fcbb20b82bfe9a075097134271b9afd59.json,82df379fcbb20b82bfe9a075097134271b9afd59.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/8a941f3a33939bbee7e5e773d7717c11aebaad3e.json,8a941f3a33939bbee7e5e773d7717c11aebaad3e.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/8d1b705d443a54df615331d2815e3d5be26b79b6.json,8d1b705d443a54df615331d2815e3d5be26b79b6.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/8e1d955cee7705939b9db98e5da04ea929abd76c.json,8e1d955cee7705939b9db98e5da04ea929abd76c.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/9052258393a9c86bf4bdd404a9d836d0f1af3522.json,9052258393a9c86bf4bdd404a9d836d0f1af3522.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/9512c22893f1ceedf326c83c58e0c492d2fba6fa.json,9512c22893f1ceedf326c83c58e0c492d2fba6fa.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/9afeed0d6bbeb55d2b31c5f898f8b8a58a26ab29.json,9afeed0d6bbeb55d2b31c5f898f8b8a58a26ab29.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/9c26dd5cbf81097e87cd791f45f8c598f9c097d3.json,9c26dd5cbf81097e87cd791f45f8c598f9c097d3.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/a037d7e54fdf96c8f0a98b91ed195d3a53acf003.json,a037d7e54fdf96c8f0a98b91ed195d3a53acf003.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/a4421208c14d7fd139155ef1590577dd6a0085e3.json,a4421208c14d7fd139155ef1590577dd6a0085e3.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/a5498dd334c26f991f0b210bed175168a15a0c77.json,a5498dd334c26f991f0b210bed175168a15a0c77.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/acfe0462a04ef53ec1671074e7a8121e36a37a5c.json,acfe0462a04ef53ec1671074e7a8121e36a37a5c.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/b20d44dc8e71247d4e3b3957b5dcba6e49f098bd.json,b20d44dc8e71247d4e3b3957b5dcba6e49f098bd.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/b3c2f6ecaf3fff9976674b4351bd53e0f31867ff.json,b3c2f6ecaf3fff9976674b4351bd53e0f31867ff.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/b666af224e44bee357f173a797c949ff9caf3241.json,b666af224e44bee357f173a797c949ff9caf3241.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/bcfc34efeb399bbd74e73bf5543fc78f2ce66c55.json,bcfc34efeb399bbd74e73bf5543fc78f2ce66c55.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/bda5252c703620473d68a1eb7cf46e02945f2834.json,bda5252c703620473d68a1eb7cf46e02945f2834.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/be56205916adb9fef2f7f453f706abc5a11d26be.json,be56205916adb9fef2f7f453f706abc5a11d26be.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/c001b2465c9d6d5c6e106b79a4274498aaa97b80.json,c001b2465c9d6d5c6e106b79a4274498aaa97b80.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/c1a26b46e3f0c3078c88f003cfdb319c13c0e6ce.json,c1a26b46e3f0c3078c88f003cfdb319c13c0e6ce.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/c2f441235d06bf82086f35244413952b0553d3e0.json,c2f441235d06bf82086f35244413952b0553d3e0.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/d7bfd39dbb6d1d0ba64ad09d4a2549aaa12089b6.json,d7bfd39dbb6d1d0ba64ad09d4a2549aaa12089b6.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/dbe8eed74cf1a39ba25db0940c9475baf8e067ce.json,dbe8eed74cf1a39ba25db0940c9475baf8e067ce.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/dd3ce889cfc09d8f57471cc3479ad335796f4c23.json,dd3ce889cfc09d8f57471cc3479ad335796f4c23.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/de59095345eae9065028a37bf039269915ec8b64.json,de59095345eae9065028a37bf039269915ec8b64.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/e96ee7a5b1d9233ff7a71bcec0aafd026953c5f5.json,e96ee7a5b1d9233ff7a71bcec0aafd026953c5f5.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/ea9d2bdb7001f6dda723367619cd4497ba9ba854.json,ea9d2bdb7001f6dda723367619cd4497ba9ba854.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/ecc902d8358d22c21aa48b983b0adcf8809ca676.json,ecc902d8358d22c21aa48b983b0adcf8809ca676.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/f4d47e6818cea6ba68bfd5d676965417fb8fb5ef.json,f4d47e6818cea6ba68bfd5d676965417fb8fb5ef.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/f9025ee7729440632ef83f8b100f92e284938330.json,f9025ee7729440632ef83f8b100f92e284938330.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
cache/f92acb917042116e2dd3232d171fcad3efe6613b.json,f92acb917042116e2dd3232d171fcad3efe6613b.json,file,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
config/nlsc_tile_activity_mapping.csv,nlsc_tile_activity_mapping.csv,file,2,REFERENCE_CONFIG,historical NLSC tile mapping; not sole formal selector authority,document_in_index,reference,no,special known root,document in CURRENT_INDEX
configs/risk_semantics,risk_semantics,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
configs/route_control_points,route_control_points,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
configs/route_definitions,route_definitions,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
nlsc_raw/97233NW,97233NW,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
nlsc_raw/97233SW,97233SW,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/.DS_Store,.DS_Store,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/_archived_before_20260531_refresh,_archived_before_20260531_refresh,dir,2,ARCHIVE,archived or backup material,historical,no,no,archive/backup path,do not use as current formal input
osm_raw_output/juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/osm_bare_rock_raw.geojson,osm_bare_rock_raw.geojson,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/osm_bench_raw.geojson,osm_bench_raw.geojson,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/osm_cliff_raw.geojson,osm_cliff_raw.geojson,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/osm_drinking_water_raw.geojson,osm_drinking_water_raw.geojson,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/osm_generic_context_raw.geojson,osm_generic_context_raw.geojson,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/osm_generic_tag_summary.csv,osm_generic_tag_summary.csv,file,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/qixing_xiaoyoukeng_joyhike_osmrefresh_v1_3b,qixing_xiaoyoukeng_joyhike_osmrefresh_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
osm_raw_output_v1_1/qixing_lengshuikeng_main_peak_20260523,qixing_lengshuikeng_main_peak_20260523,dir,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
osm_raw_output_v1_1/qixing_xiaoyoukeng_main_peak_20260315,qixing_xiaoyoukeng_main_peak_20260315,dir,2,UNKNOWN,not classified by folder prompt,needs_review,unknown,unknown,add rule if it matters,review manually
outputs/_backup_before_forced_required_way_20260529_002457,_backup_before_forced_required_way_20260529_002457,dir,2,ARCHIVE,archived or backup material,historical,no,no,archive/backup path,do not use as current formal input
outputs/_backup_before_forced_required_way_20260529_002835,_backup_before_forced_required_way_20260529_002835,dir,2,ARCHIVE,archived or backup material,historical,no,no,archive/backup path,do not use as current formal input
outputs/_backup_before_forced_required_way_20260529_002919,_backup_before_forced_required_way_20260529_002919,dir,2,ARCHIVE,archived or backup material,historical,no,no,archive/backup path,do not use as current formal input
outputs/_checkpoints,_checkpoints,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_check_juansi_ib0b_approach_segments.py,_tmp_check_juansi_ib0b_approach_segments.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_debug_ib0b_components_zhonghua.py,_tmp_debug_ib0b_components_zhonghua.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_diagnose_v1e_orange_segments.py,_tmp_diagnose_v1e_orange_segments.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_diagnose_v1e_orange_segments_refined.py,_tmp_diagnose_v1e_orange_segments_refined.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_diagnose_v1f_route_corridor_residual.py,_tmp_diagnose_v1f_route_corridor_residual.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_find_gpx_peak.py,_tmp_find_gpx_peak.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_find_zhonghua_route_axis_entry_from_gpx.py,_tmp_find_zhonghua_route_axis_entry_from_gpx.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_force_patch_activity_points_osm_nlsc_corrected_v1b.py,_tmp_force_patch_activity_points_osm_nlsc_corrected_v1b.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_force_patch_refit_target_qa_summit_line.py,_tmp_force_patch_refit_target_qa_summit_line.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_inspect_ib1e_route_geojson.py,_tmp_inspect_ib1e_route_geojson.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_activity_points_osm_nlsc_corrected_v1b.py,_tmp_patch_activity_points_osm_nlsc_corrected_v1b.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_ib3c_adaptive_speed_phase1.py,_tmp_patch_ib3c_adaptive_speed_phase1.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_ib3c_adaptive_speed_phase2.py,_tmp_patch_ib3c_adaptive_speed_phase2.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_ib3c_phase3a_semantic_annotations.py,_tmp_patch_ib3c_phase3a_semantic_annotations.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_ib3c_phase3b_hr_delta.py,_tmp_patch_ib3c_phase3b_hr_delta.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_ib3c_phase3c_recovery_interpretation.py,_tmp_patch_ib3c_phase3c_recovery_interpretation.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_linked_qa_v1b_colors.py,_tmp_patch_linked_qa_v1b_colors.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_linked_qa_v1c_status.py,_tmp_patch_linked_qa_v1c_status.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_plot_activity_points_osm_nlsc_corrected_qa_map_v1.py,_tmp_patch_plot_activity_points_osm_nlsc_corrected_qa_map_v1.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_refit_target_qa_v1d.py,_tmp_patch_refit_target_qa_v1d.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_refit_target_qa_v1e.py,_tmp_patch_refit_target_qa_v1e.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_refit_target_qa_v1f.py,_tmp_patch_refit_target_qa_v1f.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/_tmp_patch_v1b_args_scope_fix.py,_tmp_patch_v1b_args_scope_fix.py,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_batch_summary,activity_points_osm_nlsc_corrected_batch_summary,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1,activity_points_osm_nlsc_corrected_v1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1_interactive_profile_qa_noplotly,activity_points_osm_nlsc_corrected_v1_interactive_profile_qa_noplotly,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
